grievance_id,registration_date,mandal_name,department,subject,status,category_group
ATP202509221399,27-10-2025,Vijayawada Rural,Collegiate Education,Student Problems,RECIEVED,General Administration
BPT20250425283,08-10-2025,Vijayawada,Police,Crime,Re_open,Law & Order
BPT202510136223,13-10-2025,Vijayawada,Municipal Administration,Urban Poverty Alleviation,REDRESSED,Infrastructure & Civic Works
ELR20241001287,28-10-2025,Vissannapeta,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
ELR202508111686,14-10-2025,Vijayawada,Registration and Stamps,Registration Services,REOPEN REDRESSED,Land & Revenue
ELR202510065635,07-10-2025,Vijayawada,Registration and Stamps,Registration Services,REDRESSED,Land & Revenue
GNT20250826590,07-10-2025,Vijayawada Rural,Revenue (CCLA),Assignments,RECIEVED,Land & Revenue
KKD202508046339,15-10-2025,Vijayawada,Police,Crime,REOPEN REDRESSED,Law & Order
KRI202412197238,28-10-2025,Vijayawada,AP Central Power Distribution Co Ltd (CPDCL),Existing Services Related Issues,Re_open,General Administration
KRI202501082765,28-10-2025,Tiruvuru,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
KRI2025012015567,28-10-2025,Mylavaram,Revenue (CCLA),Assignments,Re_open,Land & Revenue
KRI20250225680,23-10-2025,Vijayawada,AP State Road Transport Corporation (APSRTC),Employee/ Service related,REOPEN REDRESSED,General Administration
KRI20250320385,24-10-2025,Vijayawada,Police,Crime,Re_open,Law & Order
KRI20250321925,15-10-2025,Vijayawada,Municipal Administration,Public Health And Sanitation,REOPEN REDRESSED,Infrastructure & Civic Works
KRI202503246607,08-10-2025,Vijayawada,Police,Crime,Re_open,Law & Order
KRI20250613382,08-10-2025,Vijayawada,Police,Crime,REOPEN REDRESSED,Law & Order
KRI20250906245,08-10-2025,Tiruvuru,AP State Road Transport Corporation (APSRTC),Bus Related Issues,REDRESSED,General Administration
KRI202509083377,15-10-2025,Vijayawada,Municipal Administration,Street Lighting,REOPEN REDRESSED,Infrastructure & Civic Works
KRI20250910581,17-10-2025,Vijayawada Rural,AP Central Power Distribution Co Ltd (CPDCL),Operation & Mantainence Services,REOPEN REDRESSED,Welfare Schemes
KRI20250916769,13-10-2025,Vijayawada Rural,Panchayati Raj,GP-Sanitation,REOPEN REDRESSED,Infrastructure & Civic Works
KRI20250920306,08-10-2025,Vijayawada,AP State Road Transport Corporation (APSRTC),Bus Related Issues,REDRESSED,General Administration
KRI202510065589,07-10-2025,Vijayawada,Police,Crime,REDRESSED,Law & Order
KRI20251021120,21-10-2025,Vijayawada Rural,Panchayati Raj,GP Administration,REDRESSED,Infrastructure & Civic Works
KRI20251021183,21-10-2025,Kanchikacherla,Police,Crime,RECIEVED,Law & Order
KUR20251010228,10-10-2025,Vijayawada,Police,Administration Related,REDRESSED,Law & Order
NLR20250820483,28-10-2025,Vijayawada,School Education,Vidya Volunteers,Re_open,Education & Health
NTR20240624514,29-10-2025,Vatsavai,AP Social Welfare Residential Educational Institutions Society (APSWREIS),Admission  Of Students,REOPEN REDRESSED,General Administration
NTR20240625178,28-10-2025,Gampalagudem,Police,Enforcement,Re_open,Law & Order
NTR202407222773,28-10-2025,Vissannapeta,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202407222799,27-10-2025,Vissannapeta,Registration and Stamps,Registration Services,Re_open,Land & Revenue
NTR20240806321,29-10-2025,Kanchikacherla,Police,Crime,REOPEN REDRESSED,Law & Order
NTR20240829575,24-10-2025,Vijayawada,Police,Crime,Re_open,Law & Order
NTR2024091356,07-10-2025,Vissannapeta,Registration and Stamps,Notaries Related,REDRESSED,Land & Revenue
NTR20240915117,25-10-2025,Vijayawada,Endowment,Temple Administration,Re_open,Welfare Schemes
NTR20240918484,15-10-2025,Chandarlapadu,Revenue (CCLA),Assignments,Re_open,Land & Revenue
NTR20240926695,28-10-2025,Vijayawada,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR20240927212,28-10-2025,Vijayawada,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR20240927304,28-10-2025,Vijayawada,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR20240927652,28-10-2025,Vijayawada,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR20241001326,28-10-2025,Vijayawada Rural,Agriculture,Agri-Employee service related,REOPEN REDRESSED,Agriculture & Allied
NTR20241001433,27-10-2025,Ibrahimpatnam,Rural Development,NREGS – Timely Payments – Pending wage payments,Re_open,General Administration
NTR20241001599,28-10-2025,Ibrahimpatnam,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR20241004265,28-10-2025,Vijayawada,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR20241004287,28-10-2025,Vijayawada,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR20241004582,14-10-2025,Vijayawada,Municipal Administration,Town Planning,REOPEN REDRESSED,Infrastructure & Civic Works
NTR20241004819,07-10-2025,Vijayawada Rural,AP Central Power Distribution Co Ltd (CPDCL),Existing Services Related Issues,REOPEN REDRESSED,General Administration
NTR202410074102,07-10-2025,Vijayawada Rural,AP Central Power Distribution Co Ltd (CPDCL),New Service Release,REOPEN REDRESSED,General Administration
NTR202410074570,28-10-2025,Vijayawada,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR20241015672,28-10-2025,Vijayawada,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR20241016144,28-10-2025,Vijayawada,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR202410215024,24-10-2025,Vijayawada Rural,Police,Crime,Re_open,Law & Order
NTR202410286662,18-10-2025,Vijayawada Rural,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202411042396,25-10-2025,A.Konduru,Revenue (CCLA),Encroachments,Re_open,Land & Revenue
NTR202411114560,03-10-2025,Vissannapeta,Survey Settlements and Land Records,F-Line Petitions,Re_open,Land & Revenue
NTR202411181418,15-10-2025,Vijayawada,Disaster Management,"Cyclone/Flood/Tsunami/Hailstrom/Landslide/Cloudburst/Earthquake/Thudnerbolt And Other Notifed Disasters As Per G O Ms.No.15 Of Revenue(Dm)Dept.,",REDRESSED,General Administration
NTR202411182888,28-10-2025,Vijayawada,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR2024112512315,15-10-2025,Veerullapadu,Revenue (CCLA),Record Of Rights (RoR),REOPEN REDRESSED,Land & Revenue
NTR202411252411,08-10-2025,A.Konduru,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202411256830,08-10-2025,Nandigama,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202411291369,10-10-2025,Penuganchiprolu,Panchayati Raj,Complaints On Secretariat Employees-Panchayat Secretary,REOPEN REDRESSED,Infrastructure & Civic Works
NTR202411292321,08-10-2025,Nandigama,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202411292324,08-10-2025,Nandigama,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202411292347,08-10-2025,Nandigama,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202411301390,09-10-2025,Vissannapeta,Revenue (CCLA),Miscellaneous,Re_open,Land & Revenue
NTR202411301575,13-10-2025,Reddigudem,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202411302696,23-10-2025,G Konduru,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202411303015,15-10-2025,Nandigama,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202411303377,16-10-2025,Nandigama,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202411303396,14-10-2025,Vissannapeta,Revenue (CCLA),Miscellaneous,Re_open,Land & Revenue
NTR202411303421,03-10-2025,Penuganchiprolu,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202411304003,25-10-2025,Chandarlapadu,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202411304017,21-10-2025,Chandarlapadu,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202412012429,03-10-2025,Penuganchiprolu,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202412012659,03-10-2025,Penuganchiprolu,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR20241202105,08-10-2025,A.Konduru,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202412021281,25-10-2025,Chandarlapadu,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR20241202158,08-10-2025,A.Konduru,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202412021599,08-10-2025,Kanchikacherla,Police,Crime,Re_open,Law & Order
NTR202412025414,28-10-2025,Chandarlapadu,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202412027040,28-10-2025,Penuganchiprolu,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202412027687,28-10-2025,Tiruvuru,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR20241202906,08-10-2025,A.Konduru,Revenue (CCLA),Complaints on Land Grabbing,Re_open,Land & Revenue
NTR202412034144,08-10-2025,A.Konduru,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR2024120379,03-10-2025,Penuganchiprolu,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR2024120388,03-10-2025,Penuganchiprolu,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR202412041717,13-10-2025,Kondapalli,Revenue (CCLA),Complaints on Land Grabbing,Re_open,Land & Revenue
NTR202412043887,13-10-2025,Tiruvuru,School Education,Vidya Volunteers,REOPEN REDRESSED,Education & Health
NTR20241204616,03-10-2025,Nandigama,Survey Settlements and Land Records,Resurvey (SSLR),Re_open,Land & Revenue
NTR2024120573,09-10-2025,Penuganchiprolu,Panchayati Raj,GP-Encroachments/ Layouts,Re_open,Infrastructure & Civic Works
NTR202412092357,14-10-2025,A.Konduru,Revenue (CCLA),Complaints on Land Grabbing,Re_open,Land & Revenue
NTR20241214635,23-10-2025,Vijayawada,Municipal Administration,Revenue,REOPEN REDRESSED,Infrastructure & Civic Works
NTR2024122310709,03-10-2025,Nandigama,Survey Settlements and Land Records,General Survey,Re_open,Land & Revenue
NTR202412237021,16-10-2025,Nandigama,Revenue (CCLA),Encroachments,Re_open,Land & Revenue
NTR202412238012,07-10-2025,Jaggayyapeta,Civil Supplies,Free LPG Cylinder,Re_open,Welfare Schemes
NTR202412262310,28-10-2025,Vijayawada Rural,Panchayati Raj,GP-Encroachments/ Layouts,Re_open,Infrastructure & Civic Works
NTR202412262941,15-10-2025,Chandarlapadu,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202412267250,15-10-2025,Chandarlapadu,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202412273072,16-10-2025,Chandarlapadu,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202412274031,25-10-2025,Chandarlapadu,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202412284856,24-10-2025,Vijayawada,Police,Crime,Re_open,Law & Order
NTR2024123010925,28-10-2025,Vatsavai,Panchayati Raj,GP-Drinking Water,Re_open,Infrastructure & Civic Works
NTR202412301561,28-10-2025,Vijayawada Rural,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202412302021,09-10-2025,Nandigama,Survey Settlements and Land Records,F lines (Boundary demarcation),Re_open,Land & Revenue
NTR202412302030,14-10-2025,Gampalagudem,Revenue (CCLA),Miscellaneous,Re_open,Land & Revenue
NTR20241230462,15-10-2025,Kanchikacherla,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR20241230766,14-10-2025,Vijayawada,Municipal Administration,Town Planning,REOPEN REDRESSED,Infrastructure & Civic Works
NTR202412308764,03-10-2025,Nandigama,Survey Settlements and Land Records,General Survey,Re_open,Land & Revenue
NTR202501021417,22-10-2025,Tiruvuru,Endowment,Accounts,REOPEN REDRESSED,General Administration
NTR202501031455,01-10-2025,Penuganchiprolu,Rural Water Supply Engineering,Delay of Works,REOPEN REDRESSED,Infrastructure & Civic Works
NTR202501062631,14-10-2025,Veerullapadu,Revenue (CCLA),Encroachments,Re_open,Land & Revenue
NTR202501063549,28-10-2025,Vijayawada,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202501063575,29-10-2025,Vijayawada,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202501075687,14-10-2025,Vissannapeta,Revenue (CCLA),Complaints on Land Grabbing,Re_open,Land & Revenue
NTR202501081511,16-10-2025,Jaggayyapeta,Revenue (CCLA),Complaints on Land Grabbing,Re_open,Land & Revenue
NTR202501085684,01-10-2025,A.Konduru,Roads and Buildings (E-in-C),R&B-Roads,Re_open,Infrastructure & Civic Works
NTR20250109984,09-10-2025,Penuganchiprolu,Panchayati Raj,GP-Encroachments/ Layouts,Re_open,Infrastructure & Civic Works
NTR20250110913,09-10-2025,Penuganchiprolu,Panchayati Raj,GP-Encroachments/ Layouts,Re_open,Infrastructure & Civic Works
NTR2025012010050,07-10-2025,Veerullapadu,Panchayati Raj,GP-Encroachments/ Layouts,Re_open,Infrastructure & Civic Works
NTR202501201474,15-10-2025,Chandarlapadu,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR2025012016660,30-10-2025,Nandigama,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR2025012017328,31-10-2025,Kanchikacherla,Revenue (CCLA),Encroachments,Re_open,Land & Revenue
NTR2025012018069,25-10-2025,Vijayawada Rural,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR2025012018276,31-10-2025,Jaggayyapeta,Revenue (CCLA),Record Of Rights (RoR),Re_open,Land & Revenue
NTR202501202021,14-10-2025,A.Konduru,Revenue (CCLA),Grievances in Re-Survey,Re_open,Land & Revenue
NTR202501202481,12-10-2025,Chandarlapadu,Revenue (CCLA),Assignments,Re_open,Land & Revenue
NTR202501203436,15-10-2025,Nandigama,Revenue (CCLA),Complaints on Revenue Officers,Re_open,Land & Revenue
NTR202501206673,14-10-2025,Vissannapeta,Revenue (CCLA),Encroachments,Re_open,Land & Revenue
NTR202501207969,04-10-2025,Penuganchiprolu,Revenue (CCLA),Miscellaneous,Re_open,Land & Revenue
